gene_name	entrez_id
ETNK1_SNP	55500
TRIM27_SNP	5987
TRIM24_SNP	8805
RYR1_SNP	6261
MRPS35_SNP	60488
ANKK1_SNP	255239
PTPN4_SNP	5775
NOX5_SNP	79400
PPP1R13L_SNP	10848
ZNF501_SNP	115560
PXDN_SNP	7837
PTPN6_SNP	5777
CACNA1A_SNP	773
FDFT1_SNP	2222
ALS2_SNP	57679
GC_SNP	2638
MYO3A_SNP	53904
YIPF1_SNP	54432
NGEF_SNP	25791
CNR1_SNP	1268
PHKG1_SNP	5260
CAMK2B_SNP	816
FMN1_SNP	342184
CSMD1_SNP	64478
PDE4DIP_SNP	9659
RPTN_SNP	126638
XPNPEP2_SNP	7512
P2RY4_SNP	5030
GRK4_SNP	2868
ABCA4_SNP	24
EBF3_SNP	253738
SNCAIP_SNP	9627
RPL10L_SNP	140801
RICTOR_SNP	253260
ESYT1_SNP	23344
PAPPA2_SNP	60676
POC1A_SNP	25886
NECAB1_SNP	64168
KLF17_SNP	128209
P2RX3_SNP	5024
KCNH6_SNP	81033
TOP2A_SNP	7153
HBE1_SNP	3046
TMC7_SNP	79905
C2orf69_SNP	205327
KLB_SNP	152831
CYP19A1_SNP	1588
MAPK4_SNP	5596
MORF4L2_SNP	9643
JAKMIP1_SNP	152789
GJA8_SNP	2703
GDPD2_SNP	54857
PFKFB2_SNP	5208
EPHA6_SNP	285220
KCNH7_SNP	90134
ITGA2_SNP	3673
FBXO41_SNP	150726
PARM1_SNP	25849
RIMS2_SNP	9699
WDFY4_SNP	57705
GLB1L2_SNP	89944
HCN2_SNP	610
PCDHAC2_SNP	56134
DNAH12_SNP	201625
FOXO3_SNP	2309
RGS22_SNP	26166
IGFN1_SNP	91156
PLXNA4_SNP	91584
RSPH1_SNP	89765
SERINC3_SNP	10955
WDR86_SNP	349136
TMEM200A_SNP	114801
SETD2_SNP	29072
NBEA_SNP	26960
KEL_SNP	3792
RNASEH2A_SNP	10535
GRM8_SNP	2918
XIRP2_SNP	129446
COL17A1_SNP	1308
SHQ1_SNP	55164
CATSPER1_SNP	117144
SLFN11_SNP	91607
ZNF560_SNP	147741
ZNF443_SNP	10224
APC_SNP	324
MAFK_SNP	7975
HADHB_SNP	3032
ZNF365_SNP	22891
PRDM10_SNP	56980
NETO1_SNP	81832
HERC1_SNP	8925
TMEM132A_SNP	54972
ESAM_SNP	90952
KRTAP10.6_SNP	NA
OTOG_SNP	340990
PIK3C2A_SNP	5286
MON1A_SNP	84315
ANK3_SNP	288
WASF3_SNP	10810
PLA2R1_SNP	22925
MRGPRX4_SNP	117196
ADAMTS7_SNP	11173
ANKRD31_SNP	256006
NOVA1_SNP	4857
ADAMDEC1_SNP	27299
LRRC8C_SNP	84230
DNAH6_SNP	1768
SLC38A10_SNP	124565
COL27A1_SNP	85301
PLS1_SNP	5357
CYP4F12_SNP	66002
OR6C3_SNP	254786
SERPINB10_SNP	5273
GPSM2_SNP	29899
KDM4D_SNP	55693
SYNE1_SNP	23345
ROR2_SNP	4920
SPOCD1_SNP	90853
SIGLEC9_SNP	27180
BICC1_SNP	80114
ZNF121_SNP	7675
TGM4_SNP	7047
GAB1_SNP	2549
OR10G9_SNP	219870
SAMD4A_SNP	23034
MPO_SNP	4353
NOTCH1_SNP	4851
ARID4A_SNP	5926
MTMR7_SNP	9108
ADORA1_SNP	134
OR14J1_SNP	442191
CCZ1B_SNP	221960
NCOR2_SNP	9612
ATP6V1B1_SNP	525
IQGAP2_SNP	10788
