Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
Sample165,0.0427303383040401,0,0.0225022556404873,0,0,0.200373460341367,0.089942243128172,0.0292604595409888,0,0,0.0546067439518743,0.00317964793398178,0,0.339591093932407,0.0219040468290091,0.284176870089515,0,0.00140602373328542,0.0290545538799545,0.000748096518018966,0.0297855913611235,0.00410608266639442,0,0.812414651916667,0.660026590667415,1.15336750785062
Sample166,0.0221159877515765,0,0.0524485868401303,0.0270882289292837,0,0.0889050860018632,0,0.0168759631350395,0,0,0.0303537113508266,0.0100926671896534,0.0174260918167629,0.176389669269748,0.010382392685662,0.163838563960899,0,0.00615183270444641,0,0.0240821292870786,0.0341056601903549,0,0,0.491632220378051,0.87037368476071,0.680256571113325
Sample167,0.00341519842693081,0.0018407618996038,0.0149678265391297,0.122054862427099,0,0.0817178935635349,0.0545674238274967,0.0348956826401494,0.0385246665037906,0.0495915487533603,0,0.0184178372543209,0.0162882651777002,0.150590509876559,0.0237626750338064,0.533522873634635,0.00334792456715469,0,0.0310925316745369,0,0.0408064243846201,0.00434182671626548,0,0.682187892376433,0.756156970611,1.22374673290069
Sample168,0.0482461385713963,0,0.0148340327587164,0.0267102682087362,0.0113294656306987,0.119872653174929,0.0221878948188022,0.0230691554548803,0,0,0.0585957419783613,0,0,0.364475712984544,0.00739436806496913,0.196130033770976,0,0,0.023415604337412,0,0.0431753049734715,0,0,0.668582221007278,0.752232182940249,0.959436374727894
Sample169,0.0056245721672166,0.0061485650414877,0.000660117466727281,0.162790477226206,0,0.201511166126794,0.0562405907082932,0.0383348096678245,0,0,0,0.00199261228173812,0.0598157742452177,0.0359447851300227,0.0543718652960054,0.36165002741832,0.0749687852679446,0,0.138102927668747,0,0.0174490033857561,0,0,0.76914034783502,0.72776568269812,1.2156060790983
Sample170,0.0138442254848444,0,0.00842909241873388,0.063653535587343,0,0.275994327154204,0.0310153153951863,0.0234386900357439,0,0,0.0251814573060937,0,0.0138015431857295,0.119498984434639,0.0662454328583464,0.279005607019796,0.0149810852183258,0,0.0513542926587979,0,0.0106320305176052,0.00451661484406674,0,0.581186512415489,0.823303444770187,1.00159223411945
Sample172,0.0285121638976069,0,0,0.13609924659273,0,0.62902255530542,0.0366411151471546,0,0,0,0.0106333946176548,0,0.0305652041765772,0.123838393021754,0.0539429832549407,0.546260679574986,0.0878770404209745,0.0119713709540839,0.31239782177246,0,0.00109064650204805,0,0,0.860271520254312,0.660037338038039,2.00885261523839
Sample173,0,0.0333231998568488,0.00393113980867313,0.0245945263071274,0,0.196367052657693,0.0198436455430344,0.0155179034869576,0,0,0.0366281938208397,0.00519637856752364,0.0308783421738291,0.167440221050949,0.00716862470868959,0.344878307311566,0,0.0127483004137138,0.0195643338651556,0,0.089525731468241,0.0182066912707617,0,0.677593856561013,0.761946145222445,1.0258125923116
Sample179,0.00565025155521222,0.0450613359081327,0.032368587877998,0.00806515170895985,0.00657304992420667,0.144288975413891,0.0281820903262415,0.015193599499613,0,0,0.0655879904101021,0,0.011656473462716,0.0412275456560525,0.00300612300430003,0.0792823269131481,0,0.0299826587144076,0.016483769050797,0.00928603307603781,0.00642135900064441,0.00273449939991602,0.01,0.193183339431321,1.00322741498406,0.551051820902376
Sample17,0.00365886381396738,0.0751658048817793,0.127345728174267,0.0996752456032097,0,0.296118303106477,0.0214861488978679,0.0735452127706193,0.00638029326073918,0,0.038390955619709,0,0.0279903845059953,0.117573153497956,0.0782204171000549,0.625840530379524,0.00130912983748174,0,0.0141921282540863,0,0,0.000549606239154701,0,0.763298828543987,0.721143502548584,1.60744190594289
Sample181,0.00605297126175118,0.0234367713539125,0,0.151379011449046,0,0.528436908525737,0.087690056760286,0.0154808273728676,0,0,0.0856815456677433,0,0.0556832120093179,0.107800765727801,0.0748126310757933,0.343968256244721,0.00962989639967587,0.0217732635024483,0.0715509572801341,0.00560024695729457,0.00860178568330859,0,0,0.796224579766528,0.696150827717152,1.59757910727184
Sample183,0.00224966144408094,0.0612781035494559,0.00571446721921538,0.122480958105314,0.0341817050968446,0.253986008782821,0.107565805976307,0.00126289803435029,0,0.108892656245262,0.0128530507453931,0,0,0.0259675393105066,0.0382818717518207,0.265855848355531,0.0154543050566632,0.0103911695877391,0.079796662802066,0,0.0213411623259377,0,0,0.721159590238463,0.749933038690138,1.16755387438931
Sample184,0.0166171317334016,0,0.00618656290045522,0.0352604875567607,0.00347841284208925,0.018859786936513,0.0943408766856331,0.0831145548912286,0.0238590634795232,0,0.0364477922313331,0.00410141413060731,0,0.444494465764486,0.013790852745868,0.399604847700978,0,0,0.019457092714603,0,0,0.0121560209926664,0,0.821204307305262,0.614545099083782,1.21176936330615
Sample185,0,0.0346138889775014,0.0131491730000674,0.120397612712332,0,0.125041870267246,0.0187896450100955,0.0273602796355856,0.0492510387845841,0,0.0274799609993375,0.00827611089823876,0.0014380502821393,0.276947873871091,0.0373188713312128,0.39816965512187,0,0,0.103842482878771,0,0.00277681132771057,0,0,0.820833926293097,0.6602750236181,1.24485332509778
Sample187,0.00814628609351042,0.0459751377441792,0.0482672255632173,0.0508035704417054,0,0.322974935800878,0.0408533123423794,0.00985463551905653,0,0,0.0250120486895465,0,0.0314402887914974,0.0720209825473875,0.0434124895540628,0.30797071226946,0.0333843651014075,0,0.0927332552847647,0,0,0.00257312812790509,0,0.733450874365893,0.751809624975867,1.13542237387096
Sample188,0.068528482129375,0,0,0.0559296097755143,0,0.0913416962693882,0,0.0579206200120285,0.00253403365969954,0,0,0.0105577440053199,0.0332174833894378,0.0751061289103082,0.0186076153367834,0.223829096568691,0,0.00387960633147557,0.0320997684784274,0,0,0,0,0.67099475917306,0.773512326389418,0.673551884866449
Sample18,0.0198020218696378,0.00312525361475649,0.0188710140603496,0.0626243303942551,0,0.0801043966000086,0.0895161271355176,0.0553737987007549,0,0.00200493980144646,0.030835143996781,0,0.0431800156538675,0.0743460193133515,0.0579770346169648,0.20400759790063,0.000954018901927201,0.000873649516870417,0.00864287589756113,0.0300723743684532,0.00268417842338693,0.00051108088111553,0,0.525984463070687,0.856711592115156,0.785505871647636
Sample1,0.0231570090418831,0.00453986352679728,0.0206411474666436,0.0472748737646312,0,0.110688947658602,0.0504309163598486,0.0384522792936104,0,0.00417938121366086,0.0378267329076578,0,0.00986515634359121,0.0602142726760653,0.0106333545476634,0.186807460446883,0.00447056428156202,0.008192014033587,0.0402595440417524,0,0,0,0,0.349174006035588,0.938878761116189,0.657633517604439
Sample20,0.00511214725308599,0.0111704105504435,0.0146131779707741,0.150990797495887,0,0.166751456650291,0.0906366811427928,0.0348306836501779,0,0.00017494314303169,0,0.02680832717394,0.0774761218646416,0.0766707841254528,0.0625744690432495,0.644496984987054,0.00411655038815376,0,0,0.17855186057672,0.0541213850633213,0.0234675767410973,0,0.71622386680689,0.745153010188236,1.62256435782011
Sample21,0.00508087211344039,0.0128683376969373,0.013254104849961,0.0418079853449056,0,0.07657187239745,0.0513122843503814,0.046213820279079,0.00600157913779097,0.00707143470602381,0.0198001472029724,0,0.0209831728805412,0.178061866197142,0.0132409567790293,0.227087692967031,0.00866261806461287,0.0135735815432634,0.0087953359321683,0.018089629491069,0.0112450445595313,0.00186255918551745,0,0.423127417351191,0.907491863149994,0.781584895678848
Sample22,0.0305960430755245,0,0.01393232767906,0.0169849108762781,0,0.0748086199561841,0.0134942370915674,0.0232627445759246,0.000558180699118863,0,0.0371666459211032,0,0.0105549910288304,0.0853630878148133,0.00331636616539913,0.315760688744797,0.00553600910862698,0.0105599002552663,0.046895031160602,0,0.0175191834484078,0.00374943468787893,0,0.369652703313455,0.93525137855894,0.710058402289383
Sample23,0.00186737678156861,0.00906408860192081,0.0103313041116006,0.0222730976061597,0,0.161473339598058,0.0279535705071526,0.00982493947965448,0,0,0.0414543994173678,0,0.0107960336006192,0.308288210786829,0.00487854768400036,0.192591163580873,0,0.00328979555560297,0.00547966226643023,0.0186830885363518,0.00366981325654458,0.00118152944940657,0,0.813212481160817,0.632394214809028,0.833099960820139
Sample24,0,0.00588544628839118,0.138777908918352,0.144564930583624,0,0.0634882512652513,0.084866408140039,0.207209610858124,0,0,0.034896859323736,0.027418512162534,0.120053508272207,0.333165293406005,0.0294338850499994,0.369874335616908,0,0,0,0.236303977907413,0,0.0274580444237332,0.11,0.124842845341389,1.04079837407039,1.82339697221632
Sample25,0.0068528466226429,0.00914340986278179,0,0.0652910630064296,0,0.259022341007173,0.0823367444540042,0.0138554345440383,0,0,0.0558006836612881,0,0.0268851871345862,0.0320150525111804,0.0312686981077512,0.518539128700099,0.0497126929360501,0,0.163450503138791,0,0,0,0,0.692802140625928,0.765196570214749,1.31417378568682
Sample27,0.0672685505717936,0.117135005189103,0.0563703289226326,0.188104648942981,0,0.401865634639374,0.0855556353009184,0.0210886932083895,0,0,0.000721235031329367,0.00646046494773443,0.0174139663702552,0.0486965840317508,0.0745166979707432,0.214098259886559,0,0,0.0108944928972247,0,0.0346796716007079,0,0,0.778509359391762,0.710925678805657,1.3448698695115
Sample30,0.00114925381495446,0.0039285074643451,0.0299497766387253,0.355084073239344,0,0.114253078192161,0.113117036155543,0.093954824863491,0.00474285447796974,0.120606559419646,0,0,0.0153510599782016,0.00983558165837764,0.0926401928982452,0.367955412150341,0.00118545646538064,0,0.0326057162450295,0,0.00804800386096811,0.00138326989127882,0,0.698124700370599,0.750937695516521,1.365790657414
Sample31,0.0387130038433497,0,0.0363160060243994,0.0215773489027374,0,0.0810765733812469,0.0563343566205779,0.0354809896016468,0.00651660735231219,0.0114346015983636,0.0324076280968434,0,0.0235465129874995,0.0463457811495956,0.0311744253133119,0.356134757707814,0.00196377202377954,0,0.0207608726617049,0,0.0459697111579135,0.00085762742468064,0,0.402699596758693,0.915362029541639,0.846610575847777
Sample32,0.0103890051528416,0,0.0126374935664441,0.035765860005277,0,0.124283281183758,0.0624860375993344,0.0250022895129997,0.00486494292889422,0,0.0435528111398038,0,0.0316523491749764,0.155228373884404,0.00632340897284563,0.233078274125785,0.00762130431836534,0,0,0.0692616703099614,0.0483026177321403,0,0,0.554222477605258,0.837587905495054,0.87044971960783
Sample33,0.0221397851651924,0.167992761727428,0.0602963396259348,0.102001210172952,0,0.42741636474219,0.0946946465821609,0,0,0,0.0557116952998727,0,0.158219868306355,0.337607641751007,0.0426331519338118,0.65742812789753,0,0,0.17350545504217,0,0,0,0,0.873874113064275,0.656042155226166,2.2996470482466
Sample34,0.0717079040353959,0,0.0183542232923358,0.040976251658293,0,0.16618386992921,0.0370288942084707,0.00370651539008118,0,0,0.0337763783617195,0,0.0185388275776669,0.00299153741466529,0.0174953236909705,0.328024656532684,0,0.00130368841324964,0.308767934739035,0,0,0,0,0.460022667290603,0.887548103532741,1.04885600524378
Sample35,0.0418001695007004,0,0.0169502702751408,0.101502168268837,0,0.163252126784131,0.00676995985969472,0.0888861602506258,0.0410970576565972,0,0.0588239674639104,0,0,0.177756747918887,0.0319125504856437,0.203859037039464,0,0,0.0142747527964485,0,0,0,0,0.632982957878469,0.790098020319394,0.946884968300081
Sample36,0.00314753389059685,0.0167367445183734,0.0129706931896139,0.0384351321109273,0,0.282829983717153,0,0.00388260382779527,0,0,0.035401485415212,0.0119045753159149,0.0232973778928994,0.0474354950957325,0.00904432813703844,0.193215956427202,0,0.0124605456041029,0.0558237945825021,0,0.010823003249702,0.00521519307681555,0,0.587373890812473,0.820685421812091,0.762624446051581
Sample37,0.162386436003593,0.0406539127107621,0.058936513309089,0.118527892357925,0,0.474461491150772,0.00745447124947861,0.0903605980512085,0,0,0,0.0531721079221753,0.00890266199429169,0.174631977101248,0.0388536368303693,0.389101503912355,0,0,0,0.00336839145855387,0,0.00488339051400103,0,0.771191018008576,0.710640312178817,1.62569498456582
Sample38,0.0209260438366962,0,0.0117019011440358,0.0693291522303983,0,0.17116677414093,0.0257185166143122,0.023457487479633,0.00165596012480226,0,0.0199717059136076,0,0.0172866456440196,0.054753934812415,0.0185520463309514,0.201811692041189,0.00156348712620903,0.0073051236529249,0.0148934756493783,0,0.0287073896772637,0.00142580643013596,0,0.647216441327007,0.789105018097099,0.690227142848903
Sample40,0.0506226583515532,0,0.0133526836690968,0.0762088994682978,0,0.108826793453161,0.0478839124660572,0.0314191032051282,0,0,0.0191562306852821,0,0.0048339820268317,0.0771917597689682,0.0166598945985992,0.143782241082598,0.00617411005393301,0.00055434863170602,0,0.0155339165165454,0.0317093075690585,0.00342010842335963,0,0.590558647816723,0.823304779248735,0.647329949970175
Sample42,0.0277000798834119,0,0.0291232149901934,0.0487173152131753,0,0.15856793625018,0.029914680362953,0.0306272899422395,0,0,0.0642450479012413,0,0.0269313045811761,0.141039936650646,0.035472863137183,0.175009375627723,0,0,0.011824056114853,0,0.00603050270723485,0,0,0.704111631619153,0.754014935864508,0.78520360336221
Sample44,0.159257447921699,0.0050117345804037,0.025496200233078,0.191467835127657,0,0.175853542002271,0,0.19244882657472,0.098904959025009,0,0,0.136721872595332,0.111431864041643,0.211692562504643,0.0941090879040485,0.281179442809386,0,0,0,0.0833665463845085,0,0,0,0.784248684076581,0.710890326365877,1.7669419217044
Sample45,0.0223722484549356,0.0185269537143625,0.0273963603137487,0.130596938151216,0,0.211342136792364,0.0461883318795975,0.093104057417166,0.02281295443124,0,0.0481031859573889,0,0.0170843756921076,0.325516527850308,0.0445247436897536,0.397937579164626,0.00163957301365777,0,0.0328826784763349,0,0,0.00649902365975248,0,0.884267869200592,0.615366294741692,1.44652766865856
